Niveau;Multiplicateur;PV;PM;Force;Esprit  ;Agi ;Def
1;1;20;35;7;16;8;12
2;1,040;21;36;7;17;8;12
3;1,113;23;38;7;18;9;13
4;1,191;26;40;8;19;9;13
5;1,274;28;42;8;20;10;13
6;1,363;31;45;8;22;11;14
7;1,459;34;47;8;23;11;14
8;1,561;37;50;9;25;12;14
9;1,670;41;53;9;27;13;15
10;1,787;45;56;9;29;13;15
11;1,912;50;59;10;31;14;16
12;2,046;54;62;10;33;15;16
13;2,189;60;66;10;35;16;16
14;2,342;66;69;11;37;17;17
15;2,506;72;73;11;40;18;17
16;2,682;80;77;11;43;19;18
17;2,869;87;81;12;46;21;18
18;3,070;96;86;12;49;22;19
19;3,285;106;91;13;53;23;19
20;3,515;116;96;13;56;25;20
21;3,761;128;101;14;60;26;20
22;4,024;140;107;14;64;28;21
23;4,306;154;113;15;69;30;22
24;4,608;170;119;15;74;32;22
25;4,930;187;125;16;79;34;23
26;5,275;205;132;16;84;36;23
27;5,645;226;140;17;90;38;24
28;6,040;248;148;17;97;40;25
29;6,462;273;156;18;103;43;25
30;6,915;300;164;18;111;46;26
31;7,399;330;174;19;118;48;27
32;7,917;362;183;20;127;51;27
33;8,471;398;193;20;136;55;28
34;9,064;438;204;21;145;58;29
35;9,698;481;215;22;155;62;30
36;10,377;529;227;23;166;66;31
37;11,104;582;240;23;178;70;31
38;11,881;639;253;24;190;74;32
39;12,713;703;268;25;203;79;33
40;13,602;773;282;26;218;84;34
41;14,555;850;298;27;233;89;35
42;15,573;934;315;28;249;95;36
43;16,664;1027;332;29;267;101;37
44;17,830;1129;351;30;285;107;38
45;19,078;1241;370;31;305;114;39
46;20,414;1364;391;32;327;121;40
47;21,843;1500;413;33;349;128;41
48;23,372;1649;436;34;374;136;42
49;25,008;1813;460;35;400;145;43
50;26,758;1993;485;36;428;154;45
51;28,631;2191;512;37;458;164;46
52;30,635;2408;541;39;490;174;47
53;32,780;2648;571;40;524;185;48
54;35,074;2911;603;41;561;197;50
55;37,530;3200;636;43;600;209;51
56;40,157;3518;672;44;643;222;53
57;42,968;3867;709;46;687;236;54
58;45,975;4252;748;47;736;251;55
59;49,194;4674;790;49;787;267;57
60;52,637;5139;834;51;842;283;59
61;56,322;5649;880;53;901;301;60
62;60,264;6210;929;54;964;320;62
63;64,483;6827;981;56;1032;340;64
64;68,997;7506;1035;58;1104;361;65
65;73,826;8251;1093;60;1181;384;67
66;78,994;9071;1154;62;1264;408;69
67;84,524;9972;1218;64;1352;434;71
68;90,440;10963;1286;67;1447;461;73
69;96,771;12052;1357;69;1548;490;75
70;103,545;13250;1433;71;1657;521;77
71;110,793;14566;1512;74;1773;554;79
72;118,549;16014;1597;76;1897;588;81
73;126,847;17605;1685;79;2030;625;83
74;135,727;19354;1779;82;2172;664;86
75;145,228;21276;1878;84;2324;706;88
76;155,394;23390;1983;87;2486;751;90
77;166,271;25714;2093;90;2660;798;93
78;177,910;28269;2209;93;2847;848;95
79;190,364;31078;2332;97;3046;901;98
80;203,689;34165;2462;100;3259;958;101
81;217,947;37560;2599;103;3487;1018;103
82;233,204;41291;2743;107;3731;1082;106
83;249,528;45394;2896;111;3992;1149;109
84;266,995;49904;3057;114;4272;1222;112
85;285,685;54862;3227;118;4571;1298;115
86;305,683;60313;3406;122;4891;1380;118
87;327,080;66305;3596;127;5233;1466;122
88;349,976;72893;3796;131;5600;1559;125
89;374,474;80135;4007;135;5992;1656;128
90;400,687;88096;4230;140;6411;1760;132
91;428,736;96849;4465;145;6860;1871;136
92;458,747;106471;4713;150;7340;1988;139
93;490,859;117050;4975;155;7854;2113;143
94;525,220;128679;5252;160;8404;2246;147
95;561,985;141464;5544;166;8992;2387;151
96;601,324;155518;5853;172;9621;2537;155
97;643,417;170970;6178;178;10295;2696;159
98;688,456;187956;6522;184;11015;2865;164
99;736,648;206630;6885;190;11786;3045;168
100;788,213;227160;7267;197;12611;3236;173
