Niveau;Multiplicateur;PV;PM;Force;Esprit  ;Agi ;Def
1;1;15;30;5;14;12;2
2;1,040;16;31;5;15;12;2
3;1,113;17;33;5;16;13;2
4;1,191;19;34;5;17;14;2
5;1,274;21;36;6;18;15;2
6;1,363;23;38;6;19;16;2
7;1,459;25;41;6;20;17;2
8;1,561;28;43;6;22;18;2
9;1,670;31;45;6;23;19;2
10;1,787;34;48;7;25;20;3
11;1,912;37;50;7;27;22;3
12;2,046;41;53;7;29;23;3
13;2,189;45;56;7;31;24;3
14;2,342;49;59;8;33;26;3
15;2,506;54;63;8;35;27;3
16;2,682;60;66;8;38;29;3
17;2,869;66;70;8;40;31;3
18;3,070;72;74;9;43;33;3
19;3,285;79;78;9;46;35;3
20;3,515;87;82;9;49;37;3
21;3,761;96;87;10;53;40;3
22;4,024;105;91;10;56;42;3
23;4,306;116;96;10;60;45;4
24;4,608;127;102;11;65;47;4
25;4,930;140;108;11;69;50;4
26;5,275;154;113;11;74;54;4
27;5,645;169;120;12;79;57;4
28;6,040;186;126;12;85;61;4
29;6,462;204;133;13;90;64;4
30;6,915;225;141;13;97;68;4
31;7,399;247;149;14;104;73;4
32;7,917;272;157;14;111;77;5
33;8,471;299;166;15;119;82;5
34;9,064;328;175;15;127;87;5
35;9,698;361;185;16;136;93;5
36;10,377;397;195;16;145;99;5
37;11,104;436;206;17;155;105;5
38;11,881;480;217;17;166;111;5
39;12,713;527;229;18;178;118;6
40;13,602;580;242;18;190;126;6
41;14,555;637;256;19;204;134;6
42;15,573;701;270;20;218;142;6
43;16,664;770;285;20;233;151;6
44;17,830;847;301;21;250;160;6
45;19,078;931;317;22;267;170;7
46;20,414;1023;335;23;286;181;7
47;21,843;1125;354;23;306;193;7
48;23,372;1237;373;24;327;205;7
49;25,008;1360;394;25;350;217;7
50;26,758;1495;416;26;375;231;7
51;28,631;1643;439;27;401;246;8
52;30,635;1806;464;28;429;261;8
53;32,780;1986;489;29;459;277;8
54;35,074;2183;517;30;491;295;8
55;37,530;2400;545;31;525;313;9
56;40,157;2638;576;32;562;333;9
57;42,968;2901;608;33;602;354;9
58;45,975;3189;641;34;644;376;9
59;49,194;3506;677;35;689;400;10
60;52,637;3854;715;36;737;425;10
61;56,322;4237;755;38;789;452;10
62;60,264;4658;796;39;844;480;10
63;64,483;5121;841;40;903;510;11
64;68,997;5629;888;42;966;542;11
65;73,826;6189;937;43;1034;576;11
66;78,994;6803;989;44;1106;612;11
67;84,524;7479;1044;46;1183;651;12
68;90,440;8222;1102;48;1266;692;12
69;96,771;9039;1163;49;1355;735;12
70;103,545;9937;1228;51;1450;781;13
71;110,793;10925;1296;53;1551;830;13
72;118,549;12010;1368;54;1660;882;14
73;126,847;13203;1445;56;1776;938;14
74;135,727;14515;1525;58;1900;997;14
75;145,228;15957;1610;60;2033;1059;15
76;155,394;17543;1699;62;2176;1126;15
77;166,271;19286;1794;64;2328;1197;15
78;177,910;21202;1894;67;2491;1272;16
79;190,364;23308;1999;69;2665;1351;16
80;203,689;25624;2110;71;2852;1436;17
81;217,947;28170;2227;74;3051;1527;17
82;233,204;30969;2351;76;3265;1622;18
83;249,528;34045;2482;79;3493;1724;18
84;266,995;37428;2620;82;3738;1832;19
85;285,685;41147;2766;85;4000;1948;19
86;305,683;45235;2920;87;4280;2070;20
87;327,080;49729;3082;90;4579;2200;20
88;349,976;54669;3254;94;4900;2338;21
89;374,474;60101;3434;97;5243;2485;21
90;400,687;66072;3625;100;5610;2641;22
91;428,736;72637;3827;104;6002;2806;23
92;458,747;79853;4040;107;6422;2983;23
93;490,859;87787;4265;111;6872;3170;24
94;525,220;96509;4502;115;7353;3369;25
95;561,985;106098;4752;119;7868;3580;25
96;601,324;116639;5017;123;8419;3805;26
97;643,417;128227;5296;127;9008;4044;27
98;688,456;140967;5590;131;9638;4298;27
99;736,648;154973;5901;136;10313;4568;28
100;788,213;170370;6229;140;11035;4855;29
